Código,Não Entregue,Entregue Antes do Prazo,Entregue no Prazo,Entregue Fora do Prazo,Tempo Disponível Para a Atividade,Período de Entrega,Situação,Observações
AM_1_1,X,,,,15 Dias,08/09/2023 a 11/09/2023,Atrasado,Está Atrasado 192 dias. 1 Entrega Restante
AM_1_2,,,,X,5 Dias,08/09/2023 a 22/09/2023,Entregue,Entregou 7 dias após o prazo de entrega
AM_1_3,X,,,,5 Dias,23/09/2023 a 23/09/2023,Atrasado,Está Atrasado 178 dias. 2 Entregas Restantes
AM_1_4,X,,,,3 Dias,25/09/2023 a 30/09/2023,Atrasado,Está Atrasado 173 dias. 1 Entrega Restante
AM_1_5,X,,,,5 Dias,17/09/2023 a 17/09/2023,Atrasado,Está Atrasado 164 dias. 2 Entregas Restantes
AM_1_6,,,,X,3 Dias,12/10/2023 a 12/10/2023,Entregue,Entregou 1 dia após o prazo de entrega
AM_1_7,X,,,,7 Dias,21/01/2024 a 21/01/2024,Atrasado,Está Atrasado 48 dias. 2 Entregas Restantes
AM_1_8,X,,,,8 Dias,04/01/2023 a 04/01/2023,Atrasado,Está Atrasado 42 dias. 2 Entregas Restantes
